30
aa
ab
ac
ad
ae
af
ag
ah
ai
aj
ak
al
am
an
ao
ap
aq
ar
as
at
au
av
aw
ax
ay
az
ba
bb
bc
bd
407
ab aa 268435483 0 0 0 0 0
an af 2040 0 0 0 0 0
an ag 2023 0 0 0 0 0
an ah 1990 0 0 0 0 0
an ai 1925 0 0 0 0 0
an aj 1796 0 0 0 0 0
an ak 1539 0 0 0 0 0
an al 1026 0 0 0 0 0
an am 1 0 0 0 0 0
ao ab 4108 0 0 0 0 0
ao ac 4106 0 0 0 0 0
ao ad 4103 0 0 0 0 0
ao ae 4098 0 0 0 0 0
ao af 4089 0 0 0 0 0
ao ag 4072 0 0 0 0 0
ao ah 4039 0 0 0 0 0
ao ai 3974 0 0 0 0 0
ao aj 3845 0 0 0 0 0
ao ak 3588 0 0 0 0 0
ao al 3075 0 0 0 0 0
ao am 2050 0 0 0 0 0
ao an 1 0 0 0 0 0
ap ab 8205 0 0 0 0 0
ap ac 8203 0 0 0 0 0
ap ad 8200 0 0 0 0 0
ap ae 8195 0 0 0 0 0
ap af 8186 0 0 0 0 0
ap ag 8169 0 0 0 0 0
ap ah 8136 0 0 0 0 0
ap ai 8071 0 0 0 0 0
ap aj 7942 0 0 0 0 0
ap ak 7685 0 0 0 0 0
ap al 7172 0 0 0 0 0
ap am 6147 0 0 0 0 0
ap an 4098 0 0 0 0 0
ap ao 1 0 0 0 0 0
aq ab 16398 0 0 0 0 0
aq ac 16396 0 0 0 0 0
aq ad 16393 0 0 0 0 0
aq ae 16388 0 0 0 0 0
aq af 16379 0 0 0 0 0
aq ag 16362 0 0 0 0 0
aq ah 16329 0 0 0 0 0
aq ai 16264 0 0 0 0 0
aq aj 16135 0 0 0 0 0
aq ak 15878 0 0 0 0 0
aq al 15365 0 0 0 0 0
aq am 14340 0 0 0 0 0
aq an 12291 0 0 0 0 0
aq ao 8194 0 0 0 0 0
aq ap 1 0 0 0 0 0
ar ab 32783 0 0 0 0 0
ar ac 32781 0 0 0 0 0
ar ad 32778 0 0 0 0 0
ar ae 32773 0 0 0 0 0
ar af 32764 0 0 0 0 0
ar ag 32747 0 0 0 0 0
ar ah 32714 0 0 0 0 0
ar ai 32649 0 0 0 0 0
ar aj 32520 0 0 0 0 0
ar ak 32263 0 0 0 0 0
ar al 31750 0 0 0 0 0
ar am 30725 0 0 0 0 0
ar an 28676 0 0 0 0 0
ar ao 24579 0 0 0 0 0
ar ap 16386 0 0 0 0 0
ar aq 1 0 0 0 0 0
as ab 65552 0 0 0 0 0
as ac 65550 0 0 0 0 0
as ad 65547 0 0 0 0 0
as ae 65542 0 0 0 0 0
as af 65533 0 0 0 0 0
as ag 65516 0 0 0 0 0
as ah 65483 0 0 0 0 0
as ai 65418 0 0 0 0 0
as aj 65289 0 0 0 0 0
as ak 65032 0 0 0 0 0
as al 64519 0 0 0 0 0
as am 63494 0 0 0 0 0
as an 61445 0 0 0 0 0
as ao 57348 0 0 0 0 0
as ap 49155 0 0 0 0 0
as aq 32770 0 0 0 0 0
as ar 1 0 0 0 0 0
at ab 131089 0 0 0 0 0
at ac 131087 0 0 0 0 0
at ad 131084 0 0 0 0 0
at ae 131079 0 0 0 0 0
at af 131070 0 0 0 0 0
at ag 131053 0 0 0 0 0
at ah 131020 0 0 0 0 0
at ai 130955 0 0 0 0 0
at aj 130826 0 0 0 0 0
at ak 130569 0 0 0 0 0
at al 130056 0 0 0 0 0
at am 129031 0 0 0 0 0
at an 126982 0 0 0 0 0
at ao 122885 0 0 0 0 0
at ap 114692 0 0 0 0 0
at aq 98307 0 0 0 0 0
at ar 65538 0 0 0 0 0
at as 1 0 0 0 0 0
au ab 262162 0 0 0 0 0
au ac 262160 0 0 0 0 0
au ad 262157 0 0 0 0 0
au ae 262152 0 0 0 0 0
au af 262143 0 0 0 0 0
au ag 262126 0 0 0 0 0
au ah 262093 0 0 0 0 0
au ai 262028 0 0 0 0 0
au aj 261899 0 0 0 0 0
au ak 261642 0 0 0 0 0
au al 261129 0 0 0 0 0
au am 260104 0 0 0 0 0
au an 258055 0 0 0 0 0
au ao 253958 0 0 0 0 0
au ap 245765 0 0 0 0 0
au aq 229380 0 0 0 0 0
au ar 196611 0 0 0 0 0
au as 131074 0 0 0 0 0
au at 1 0 0 0 0 0
av ab 524307 0 0 0 0 0
av ac 524305 0 0 0 0 0
av ad 524302 0 0 0 0 0
av ae 524297 0 0 0 0 0
av af 524288 0 0 0 0 0
av ag 524271 0 0 0 0 0
av ah 524238 0 0 0 0 0
av ai 524173 0 0 0 0 0
av aj 524044 0 0 0 0 0
av ak 523787 0 0 0 0 0
av al 523274 0 0 0 0 0
av am 522249 0 0 0 0 0
av an 520200 0 0 0 0 0
av ao 516103 0 0 0 0 0
av ap 507910 0 0 0 0 0
av aq 491525 0 0 0 0 0
av ar 458756 0 0 0 0 0
av as 393219 0 0 0 0 0
av at 262146 0 0 0 0 0
av au 1 0 0 0 0 0
aw ab 1048596 0 0 0 0 0
aw ac 1048594 0 0 0 0 0
aw ad 1048591 0 0 0 0 0
aw ae 1048586 0 0 0 0 0
aw af 1048577 0 0 0 0 0
aw ag 1048560 0 0 0 0 0
aw ah 1048527 0 0 0 0 0
aw ai 1048462 0 0 0 0 0
aw aj 1048333 0 0 0 0 0
aw ak 1048076 0 0 0 0 0
aw al 1047563 0 0 0 0 0
aw am 1046538 0 0 0 0 0
aw an 1044489 0 0 0 0 0
aw ao 1040392 0 0 0 0 0
aw ap 1032199 0 0 0 0 0
aw aq 1015814 0 0 0 0 0
aw ar 983045 0 0 0 0 0
aw as 917508 0 0 0 0 0
aw at 786435 0 0 0 0 0
aw au 524290 0 0 0 0 0
aw av 1 0 0 0 0 0
ax ab 2097173 0 0 0 0 0
ax ac 2097171 0 0 0 0 0
ax ad 2097168 0 0 0 0 0
ax ae 2097163 0 0 0 0 0
ax af 2097154 0 0 0 0 0
ax ag 2097137 0 0 0 0 0
ax ah 2097104 0 0 0 0 0
ax ai 2097039 0 0 0 0 0
ax aj 2096910 0 0 0 0 0
ax ak 2096653 0 0 0 0 0
ax al 2096140 0 0 0 0 0
ax am 2095115 0 0 0 0 0
ax an 2093066 0 0 0 0 0
ax ao 2088969 0 0 0 0 0
ax ap 2080776 0 0 0 0 0
ax aq 2064391 0 0 0 0 0
ax ar 2031622 0 0 0 0 0
ax as 1966085 0 0 0 0 0
ax at 1835012 0 0 0 0 0
ax au 1572867 0 0 0 0 0
ax av 1048578 0 0 0 0 0
ax aw 1 0 0 0 0 0
ay ab 4194326 0 0 0 0 0
ay ac 4194324 0 0 0 0 0
ay ad 4194321 0 0 0 0 0
ay ae 4194316 0 0 0 0 0
ay af 4194307 0 0 0 0 0
ay ag 4194290 0 0 0 0 0
ay ah 4194257 0 0 0 0 0
ay ai 4194192 0 0 0 0 0
ay aj 4194063 0 0 0 0 0
ay ak 4193806 0 0 0 0 0
ay al 4193293 0 0 0 0 0
ay am 4192268 0 0 0 0 0
ay an 4190219 0 0 0 0 0
ay ao 4186122 0 0 0 0 0
ay ap 4177929 0 0 0 0 0
ay aq 4161544 0 0 0 0 0
ay ar 4128775 0 0 0 0 0
ay as 4063238 0 0 0 0 0
ay at 3932165 0 0 0 0 0
ay au 3670020 0 0 0 0 0
ay av 3145731 0 0 0 0 0
ay aw 2097154 0 0 0 0 0
ay ax 1 0 0 0 0 0
az ab 8388631 0 0 0 0 0
az ac 8388629 0 0 0 0 0
az ad 8388626 0 0 0 0 0
az ae 8388621 0 0 0 0 0
az af 8388612 0 0 0 0 0
az ag 8388595 0 0 0 0 0
az ah 8388562 0 0 0 0 0
az ai 8388497 0 0 0 0 0
az aj 8388368 0 0 0 0 0
az ak 8388111 0 0 0 0 0
az al 8387598 0 0 0 0 0
az am 8386573 0 0 0 0 0
az an 8384524 0 0 0 0 0
az ao 8380427 0 0 0 0 0
az ap 8372234 0 0 0 0 0
az aq 8355849 0 0 0 0 0
az ar 8323080 0 0 0 0 0
az as 8257543 0 0 0 0 0
az at 8126470 0 0 0 0 0
az au 7864325 0 0 0 0 0
az av 7340036 0 0 0 0 0
az aw 6291459 0 0 0 0 0
az ax 4194306 0 0 0 0 0
az ay 1 0 0 0 0 0
ba ab 16777240 0 0 0 0 0
ba ac 16777238 0 0 0 0 0
ba ad 16777235 0 0 0 0 0
ba ae 16777230 0 0 0 0 0
ba af 16777221 0 0 0 0 0
ba ag 16777204 0 0 0 0 0
ba ah 16777171 0 0 0 0 0
ba ai 16777106 0 0 0 0 0
ba aj 16776977 0 0 0 0 0
ba ak 16776720 0 0 0 0 0
ba al 16776207 0 0 0 0 0
ba am 16775182 0 0 0 0 0
ba an 16773133 0 0 0 0 0
ba ao 16769036 0 0 0 0 0
ba ap 16760843 0 0 0 0 0
ba aq 16744458 0 0 0 0 0
ba ar 16711689 0 0 0 0 0
ba as 16646152 0 0 0 0 0
ba at 16515079 0 0 0 0 0
ba au 16252934 0 0 0 0 0
ba av 15728645 0 0 0 0 0
ba aw 14680068 0 0 0 0 0
ba ax 12582915 0 0 0 0 0
ba ay 8388610 0 0 0 0 0
ba az 1 0 0 0 0 0
bb ab 33554457 0 0 0 0 0
bb ac 33554455 0 0 0 0 0
bb ad 33554452 0 0 0 0 0
bb ae 33554447 0 0 0 0 0
bb af 33554438 0 0 0 0 0
bb ag 33554421 0 0 0 0 0
bb ah 33554388 0 0 0 0 0
bb ai 33554323 0 0 0 0 0
bb aj 33554194 0 0 0 0 0
bb ak 33553937 0 0 0 0 0
bb al 33553424 0 0 0 0 0
bb am 33552399 0 0 0 0 0
bb an 33550350 0 0 0 0 0
bb ao 33546253 0 0 0 0 0
bb ap 33538060 0 0 0 0 0
bb aq 33521675 0 0 0 0 0
bb ar 33488906 0 0 0 0 0
bb as 33423369 0 0 0 0 0
bb at 33292296 0 0 0 0 0
bb au 33030151 0 0 0 0 0
bb av 32505862 0 0 0 0 0
bb aw 31457285 0 0 0 0 0
bb ax 29360132 0 0 0 0 0
bb ay 25165827 0 0 0 0 0
bb az 16777218 0 0 0 0 0
bb ba 1 0 0 0 0 0
bc ab 67108890 0 0 0 0 0
bc ac 67108888 0 0 0 0 0
bc ad 67108885 0 0 0 0 0
bc ae 67108880 0 0 0 0 0
bc af 67108871 0 0 0 0 0
bc ag 67108854 0 0 0 0 0
bc ah 67108821 0 0 0 0 0
bc ai 67108756 0 0 0 0 0
bc aj 67108627 0 0 0 0 0
bc ak 67108370 0 0 0 0 0
bc al 67107857 0 0 0 0 0
bc am 67106832 0 0 0 0 0
bc an 67104783 0 0 0 0 0
bc ao 67100686 0 0 0 0 0
bc ap 67092493 0 0 0 0 0
bc aq 67076108 0 0 0 0 0
bc ar 67043339 0 0 0 0 0
bc as 66977802 0 0 0 0 0
bc at 66846729 0 0 0 0 0
bc au 66584584 0 0 0 0 0
bc av 66060295 0 0 0 0 0
bc aw 65011718 0 0 0 0 0
bc ax 62914565 0 0 0 0 0
bc ay 58720260 0 0 0 0 0
bc az 50331651 0 0 0 0 0
bc ba 33554434 0 0 0 0 0
bc bb 1 0 0 0 0 0
bd ab 134217755 0 0 0 0 0
bd ac 134217753 0 0 0 0 0
bd ad 134217750 0 0 0 0 0
bd ae 134217745 0 0 0 0 0
bd af 134217736 0 0 0 0 0
bd ag 134217719 0 0 0 0 0
bd ah 134217686 0 0 0 0 0
bd ai 134217621 0 0 0 0 0
bd aj 134217492 0 0 0 0 0
bd ak 134217235 0 0 0 0 0
bd al 134216722 0 0 0 0 0
bd am 134215697 0 0 0 0 0
bd an 134213648 0 0 0 0 0
bd ao 134209551 0 0 0 0 0
bd ap 134201358 0 0 0 0 0
bd aq 134184973 0 0 0 0 0
bd ar 134152204 0 0 0 0 0
bd as 134086667 0 0 0 0 0
bd at 133955594 0 0 0 0 0
bd au 133693449 0 0 0 0 0
bd av 133169160 0 0 0 0 0
bd aw 132120583 0 0 0 0 0
bd ax 130023430 0 0 0 0 0
bd ay 125829125 0 0 0 0 0
bd az 117440516 0 0 0 0 0
bd ba 100663299 0 0 0 0 0
bd bb 67108866 0 0 0 0 0
bd bc 1 0 0 0 0 0
